nombre_comuna, id_comuna, id_provincia_id
Macul, 13118, 131
Maipú, 13119, 131
Ñuñoa, 13120, 131
Pedro Aguirre Cerda, 13121, 131
Peñalolén, 13122, 131
Providencia, 13123, 131
Pudahuel, 13124, 131
Quilicura, 13125, 131
Quinta Normal, 13126, 131
Recoleta, 13127, 131
Renca, 13128, 131
San Joaquín, 13129, 131
San Miguel, 13130, 131
San Ramón, 13131, 131
Vitacura, 13132, 131
Puente Alto, 13201, 132
Pirque, 13202, 132
San José de Maipo, 13203, 132
Colina, 13301, 133
Lampa, 13302, 133
Tiltil, 13303, 133
San Bernardo, 13401, 134
Buin, 13402, 134
Calera de Tango, 13403, 134
Paine, 13404, 134
Melipilla, 13501, 135
Alhué, 13502, 135
Curacaví, 13503, 135
María Pinto, 13504, 135
San Pedro, 13505, 135
Talagante, 13601, 136
El Monte, 13602, 136
Isla de Maipo, 13603, 136
Padre Hurtado, 13604, 136
Peñaflor, 13605, 136
Valdivia, 14101, 141
Corral, 14102, 141
Lanco, 14103, 141
Los Lagos, 14104, 141
Máfil, 14105, 141
Mariquina, 14106, 141
Paillaco, 14107, 141
Panguipulli, 14108, 141
La Unión, 14201, 142
Futrono, 14202, 142
Lago Ranco, 14203, 142
Río Bueno, 14204, 142
Arica, 15101, 151
Camarones, 15102, 151
Putre, 15201, 152
General Lagos, 15202, 152
Chillán, 16101, 161
Bulnes, 16102, 161
Chillán Viejo, 16103, 161
El Carmen, 16104, 161
Pemuco, 16105, 161
Pinto, 16106, 161
Quillón, 16107, 161
San Ignacio, 16108, 161
Yungay, 16109, 161
Quirihue, 16201, 162
Cobquecura, 16202, 162
Coelemu, 16203, 162
Ninhue, 16204, 162
Portezuelo, 16205, 162
Ránquil, 16206, 162
Treguaco, 16207, 162
San Carlos, 16301, 163
Coihueco, 16302, 163
Ñiquén, 16303, 163
San Fabián, 16304, 163
San Nicolás, 16305, 163
